Gene	Age	dnds	Degree	cai	GC_content	essentiality	marginal_essentiality	phylogenetic_capacitance
YBL095W	Fungi	0.1426	2	0.121	0.432	0	0.030309597	4
YBL097W	Eukaryota	0.1228	14	0.147	0.378	1	0.090258729	3
YBL098W	pre_Eukaryota	0.07705	0	0.165	0.386	0	0.025151117	4
YBL099W	pre_Eukaryota	0.0274	13	0.471	0.438	0	0.271161041	4
YBL101C	SCER_S28	0.0905	9	0.124	0.414	0	0.037503122	4
YBL102W	Eukaryota	0.0410666666667	22	0.099	0.448	0	0.015220796	4
YBL103C	Eukaryota	0.0857666666667	23	0.147	0.397	0	0.249149333	4
YBL104C	Eukaryota	0.0294	14	0.142	0.39	0	0.039536045	5
YBL105C	pre_Eukaryota	0.0432	40	0.171	0.388	1	0.076304825	5
YBL106C	Eukaryota	0.0396	16	0.123	0.389	0	0.024797588	3
YBL107C	SCER_S28	0.1384	1	0.104	0.374	0	0.144417695	4
YBR001C	Eukaryota	0.0283	9	0.123	0.394	0	0.030477094	4
YBR002C	N/A	0.0448	10	0.109	0.423	1	0.139314085	4
YBR003W	pre_Eukaryota	0.0401666666667	4	0.14	0.406	0	0.3152389	5
YBR004C	Eukaryota	0.1072	3	0.154	0.343	1	0.064903966	4
YBR005W	N/A	0.2179	3	0.074	0.469	0	0.008646402	4
YBR006W	pre_Eukaryota	0.025	5	0.195	0.408	0	0.02494772	3
YBR007C	N/A	0.10955	2	0.122	0.385	0	0.031200535	3
YBR008C	pre_Eukaryota	0.0587	0	0.156	0.412	0	0.017158368	4
YBR009C	Eukaryota	0.0	178	0.734	0.43	0	0.18733695	6
YBR010W	Eukaryota	0.0	129	0.622	0.434	0	0.134059127	5
YBR011C	pre_Eukaryota	0.0658666666667	34	0.621	0.427	1	0.087208796	6
YBR013C	SCER_S28	0.3849	0	0.1	0.331	0	0.010261027	3
YBR014C	pre_Eukaryota	0.228166666667	3	0.154	0.391	0	0.159297726	2
YBR015C	N/A	0.0897	7	0.17	0.417	0	0.188865132	3
YBR016W	N/A	0.0735	5	0.106	0.51	0	0.140128466	3
YBR017C	Eukaryota	0.0391	72	0.144	0.39	0	0.113548901	3
YBR018C	pre_Eukaryota	0.08765	9	0.222	0.384	0	0.142128335	4
YBR019C	pre_Eukaryota	0.06605	6	0.186	0.402	0	0.016450045	4
YBR020W	pre_Eukaryota	0.052	7	0.194	0.415	0	0.160263907	4
YBR021W	Eukaryota	0.043	2	0.186	0.4	0	0.338041469	4
YBR022W	N/A	0.17505	1	0.117	0.382	0	0.014520778	4
YBR024W	pre_Eukaryota	0.142633333333	7	0.155	0.4	0	0.016807555	4
YBR025C	pre_Eukaryota	0.0541666666667	28	0.567	0.396	0	0.162500392	6
YBR026C	N/A	0.0554333333333	3	0.166	0.388	0	0.334429207	4
YBR028C	pre_Eukaryota	0.0807	10	0.149	0.382	0	0.011897476	4
YBR029C	N/A	0.0441666666667	4	0.169	0.385	1	0.078680081	4
YBR030W	N/A	0.1407	4	0.153	0.405	0	0.021701403	4
YBR031W	N/A	0.0799666666667	126	0.803	0.483	0	0.035678601	5
YBR033W	Fungi	0.290133333333	2	0.116	0.387	0	0.027652514	3
YBR034C	Eukaryota	0.0243333333333	20	0.267	0.407	0	0.212362212	6
YBR035C	pre_Eukaryota	0.0358666666667	9	0.241	0.434	0	0.437123205	4
YBR036C	N/A	0.0714	44	0.142	0.434	0	0.006370862	3
YBR037C	pre_Eukaryota	0.058	6	0.111	0.451	0	0.304454053	3
YBR038W	pre_Eukaryota	0.0187	7	0.172	0.404	1	0.143856201	4
YBR039W	pre_Eukaryota	0.023	31	0.337	0.391	0	0.097985034	5
YBR040W	SCER_S28	0.0626333333333	2	0.132	0.349	0	0.017275543	4
YBR041W	pre_Eukaryota	0.04735	17	0.194	0.377	0	0.055070106	5
YBR042C	Eukaryota	0.0652	9	0.133	0.371	0	0.14306641	4
YBR043C	pre_Eukaryota	0.08425	5	0.124	0.41	0	0.032814882	3
YBR044C	pre_Eukaryota	0.1405	12	0.127	0.391	0	0.18769598	4
YBR045C	SCER_S28	0.1441	6	0.14	0.364	0	0.092019745	4
YBR046C	N/A	0.100366666667	2	0.156	0.39	0	0.028050483	4
YBR047W	SCER_S28	0.1207	2	0.149	0.368	0	0.031078722	4
YBR049C	Eukaryota	0.0406	32	0.199	0.388	1	0.06159355	4
YBR050C	SCER_S28	0.2097	4	0.138	0.393	0	0.017198489	2
YBR052C	pre_Eukaryota	0.111133333333	30	0.149	0.444	0	0.003381136	4
YBR053C	N/A	0.0699	5	0.167	0.39	0	0.034719672	4
YBR054W	Fungi	0.0475	19	0.457	0.408	0	0.037004748	4
YBR055C	Eukaryota	0.14355	93	0.127	0.373	1	0.039260701	4
YBR056W	pre_Eukaryota	0.0724	4	0.202	0.384	0	0.009489974	3
YBR057C	SCER_S28	0.106966666667	15	0.123	0.384	0	0.110515373	4
YBR058C	Eukaryota	0.071	16	0.162	0.379	0	0.149535585	4
YBR059C	pre_Eukaryota	0.079	71	0.146	0.403	0	0.022411083	5
YBR060C	Eukaryota	0.0983	35	0.14	0.387	1	0.074489699	4
YBR061C	pre_Eukaryota	0.0288	5	0.143	0.404	0	0.070689155	4
YBR062C	N/A	0.0465	2	0.178	0.397	0	0.012044592	4
YBR063C	SCER_S28	0.5747	3	0.131	0.352	0	0.030268014	1
YBR065C	Eukaryota	0.1345	23	0.107	0.373	0	0.016053664	2
YBR066C	Eukaryota	0.12575	4	0.124	0.38	0	0.036848416	3
YBR067C	SCER_S28	0.1215	1	0.45	0.479	0	0.035367464	3
YBR068C	pre_Eukaryota	0.0622333333333	13	0.157	0.403	0	0.050904273	4
YBR069C	pre_Eukaryota	0.0959	34	0.151	0.418	0	0.095882324	4
YBR070C	Eukaryota	0.138133333333	3	0.101	0.395	1	0.498114675	4
YBR071W	N/A	0.164366666667	4	0.139	0.436	0	0.032800687	4
YBR072W	pre_Eukaryota	0.09595	28	0.338	0.427	0	0.045752519	4
YBR073W	pre_Eukaryota	0.065	4	0.135	0.379	0	0.042101244	3
YBR074W	pre_Eukaryota	0.10345	1	0.125	0.379	0	0.040514559	4
YBR076W	SCER_S28	0.09025	0	0.145	0.359	0	0.044138009	4
YBR077C	SCER_S28	0.0844666666667	8	0.142	0.391	0	0.319147279	3
YBR079C	Eukaryota	0.0563	63	0.355	0.405	1	0.081747737	5
YBR080C	pre_Eukaryota	0.02205	27	0.193	0.385	1	0.051629603	6
YBR081C	Eukaryota	0.0464	48	0.154	0.367	0	0.547080517	4
YBR083W	Eukaryota	0.134833333333	14	0.121	0.405	0	0.033304176	4
YBR084W	pre_Eukaryota	0.0534	44	0.208	0.416	0	0.057126561	3
YBR085W	Eukaryota	0.0342	17	0.198	0.405	0	0.205213243	5
YBR086C	Eukaryota	0.1622	21	0.176	0.38	0	0.047591034	4
YBR087W	pre_Eukaryota	0.02875	27	0.152	0.372	1	0.05945536	5
YBR088C	pre_Eukaryota	0.00203333333333	44	0.256	0.385	1	0.054587447	5
YBR091C	Eukaryota	0.0604333333333	9	0.068	0.446	1	0.061902091	4
YBR092C	N/A	0.0472666666667	0	0.354	0.43	0	0.009073834	4
YBR093C	Eukaryota	0.0803333333333	7	0.46	0.424	0	0.012799726	4
YBR094W	Eukaryota	0.06295	8	0.176	0.374	0	0.050885293	3
YBR095C	SCER_S28	0.0959	22	0.146	0.378	0	0.327457146	4
YBR096W	SCER_S28	0.0974333333333	0	0.209	0.375	0	0.035095298	4
YBR097W	pre_Eukaryota	0.0604	8	0.135	0.347	0	0.38041592	3
YBR098W	SCER_S28	0.161766666667	7	0.108	0.366	0	0.085448411	4
YBR101C	Eukaryota	0.0643666666667	11	0.158	0.382	0	0.021406807	4
YBR102C	Eukaryota	0.0628333333333	22	0.132	0.38	1	0.055460465	4
YBR103W	pre_Eukaryota	0.1029	25	0.108	0.407	0	0.073230025	4
YBR104W	N/A	0.04565	0	0.119	0.414	0	0.009039587	4
YBR105C	Eukaryota	0.0723	17	0.125	0.424	0	0.013296633	3
YBR106W	Eukaryota	0.01865	134	0.529	0.434	0	0.236923041	4
YBR107C	SCER_S28	0.13385	23	0.12	0.422	0	0.013754327	4
YBR108W	SCER_S28	0.2938	33	0.106	0.469	0	0.024731519	3
YBR109C	pre_Eukaryota	0.00463333333333	105	0.22	0.39	1	0.079113879	6
YBR110W	N/A	0.0695333333333	35	0.141	0.363	1	0.191401676	4
YBR111C	N/A	0.0260666666667	4	0.247	0.407	0	0.092103936	4
YBR112C	pre_Eukaryota	0.312666666667	34	0.162	0.438	0	0.084030069	6
YBR114W	pre_Eukaryota	0.0559	29	0.163	0.401	0	0.042307961	5
YBR115C	pre_Eukaryota	0.0425	7	0.212	0.4	0	0.024120912	4
YBR117C	pre_Eukaryota	0.02695	3	0.168	0.45	0	0.08783304	5
YBR118W	pre_Eukaryota	0.102433333333	45	0.876	0.447	0	0.039949347	6
YBR119W	Eukaryota	0.1946	33	0.113	0.38	0	0.041654273	2
YBR120C	SCER_S28	0.12285	3	0.127	0.348	0	0.011106436	4
YBR121C	pre_Eukaryota	0.0363	11	0.414	0.393	1	0.062343875	5
YBR122C	SCER_S28	0.161566666667	31	0.174	0.399	0	0.148131794	4
YBR123C	Eukaryota	0.0814	19	0.135	0.386	1	0.062357663	4
YBR125C	Eukaryota	0.0294	11	0.129	0.406	0	0.025067645	5
YBR126C	pre_Eukaryota	0.00765	39	0.187	0.453	0	0.291337835	5
YBR127C	pre_Eukaryota	0.0192333333333	36	0.39	0.424	0	0.144839437	5
YBR128C	SCER_S28	0.192666666667	8	0.104	0.381	0	0.030889628	4
YBR129C	SCER_S28	0.0762333333333	3	0.141	0.375	0	0.022487881	4
YBR130C	SCER_S28	0.1728	32	0.149	0.36	0	0.009236253	4
YBR131W	SCER_S28	0.15075	3	0.129	0.376	0	0.182879657	4
YBR132C	N/A	0.04245	5	0.142	0.407	0	0.029629038	4
YBR133C	Eukaryota	0.102433333333	13	0.127	0.407	0	0.060771888	4
YBR135W	Eukaryota	0.00896666666667	45	0.144	0.48	1	0.08157441	5
YBR136W	Eukaryota	0.0504	34	0.136	0.364	1	0.036428116	3
YBR137W	Fungi	0.0445666666667	9	0.157	0.393	0	0.064020614	4
YBR138C	SCER_S28	0.1418	9	0.13	0.354	0	0.010183536	3
YBR139W	pre_Eukaryota	0.0932333333333	7	0.15	0.406	0	0.16988336	5
YBR140C	Eukaryota	0.0614	10	0.14	0.362	1	0.396429375	3
YBR141C	Fungi	0.135933333333	2	0.112	0.405	0	0.018289021	4
YBR142W	pre_Eukaryota	0.0932666666667	67	0.182	0.371	1	0.076829123	4
YBR143C	pre_Eukaryota	0.0077	36	0.334	0.37	1	0.087942727	5
YBR145W	pre_Eukaryota	0.036	2	0.253	0.426	0	0.051675176	4
YBR146W	pre_Eukaryota	0.0644666666667	33	0.137	0.388	0	0.063366916	5
YBR147W	N/A	0.163233333333	0	0.113	0.373	0	0.023698556	4
YBR148W	N/A	0.2807	6	0.173	0.355	0	0.148642029	4
YBR149W	pre_Eukaryota	0.0557333333333	5	0.204	0.416	0	0.044029932	4
YBR150C	Fungi	0.11605	7	0.14	0.36	0	0.018335231	4
YBR151W	N/A	0.0515	4	0.148	0.401	0	0.006720775	4
YBR152W	SCER_S28	0.3359	20	0.153	0.395	1	0.069899762	2
YBR153W	N/A	0.0974333333333	2	0.087	0.413	1	0.096443346	4
YBR154C	pre_Eukaryota	0.0277333333333	65	0.257	0.374	1	0.074686967	6
YBR155W	pre_Eukaryota	0.0606	29	0.183	0.389	1	0.059696279	4
YBR156C	Fungi	0.1417	21	0.126	0.373	0	0.21042984	4
YBR157C	SCER_S28	0.0704333333333	8	0.128	0.388	0	0.008323903	4
YBR158W	pre_Eukaryota	0.1545	5	0.129	0.381	0	0.014222797	3
YBR159W	N/A	0.0576	120	0.231	0.38	0	0.048250219	5
YBR160W	Eukaryota	0.0138	253	0.168	0.413	1	0.031874484	5
YBR161W	Eukaryota	0.0615666666667	5	0.134	0.382	0	0.018310957	4
YBR162C	Fungi	0.0485333333333	8	0.381	0.435	0	0.096915144	6
YBR162W-A	SCER_S28	0.104533333333	3	0.16	0.405	0	NaN	4
YBR163W	N/A	0.158733333333	0	0.134	0.361	0	0.434791804	4
YBR164C	N/A	0.00786666666667	12	0.18	0.384	0	0.05268566	6
YBR165W	N/A	0.1884	0	0.119	0.378	0	0.257672141	4
YBR166C	pre_Eukaryota	0.04945	7	0.145	0.374	0	0.114619306	4
YBR167C	SCER_S28	0.20785	12	0.159	0.364	1	0.067572717	4
YBR168W	Fungi	0.1811	5	0.117	0.355	0	0.1875799	4
YBR169C	pre_Eukaryota	0.0564	31	0.192	0.407	0	0.008557579	5
YBR170C	Eukaryota	0.0684333333333	21	0.129	0.399	0	0.066561986	5
YBR171W	Fungi	0.0602666666667	16	0.172	0.361	0	0.085023659	4
YBR172C	Eukaryota	0.1714	19	0.157	0.404	0	0.013434254	3
YBR173C	Eukaryota	0.0675	24	0.159	0.446	0	0.179416198	4
YBR175W	pre_Eukaryota	0.0781	23	0.089	0.428	0	0.118499579	4
YBR176W	pre_Eukaryota	0.05525	6	0.144	0.399	0	0.043469704	4
YBR177C	N/A	0.0581	24	0.166	0.412	0	0.012386851	4
YBR179C	pre_Eukaryota	0.07245	8	0.143	0.368	0	0.480324937	3
YBR180W	pre_Eukaryota	0.1035	4	0.121	0.396	0	0.01606321	3
YBR181C	N/A	0.03925	68	0.846	0.432	0	0.084412537	6
YBR182C	N/A	0.1883	4	0.112	0.417	0	0.028924125	4
YBR183W	N/A	0.0714333333333	35	0.116	0.411	0	0.004571899	4
YBR184W	SCER_S28	0.5706	1	0.121	0.349	0	0.013284782	1
YBR185C	SCER_S28	0.0822333333333	4	0.136	0.376	0	0.275909651	4
YBR186W	pre_Eukaryota	0.151966666667	5	0.102	0.377	0	0.014594943	3
YBR187W	Eukaryota	0.107866666667	10	0.162	0.424	0	0.083501514	4
YBR188C	SCER_S28	0.3934	18	0.095	0.402	0	0.038105049	1
YBR189W	N/A	0.06205	105	0.81	0.431	0	0.183789177	2
YBR191W	N/A	0.0394666666667	48	0.691	0.421	0	0.349001827	6
YBR192W	Eukaryota	0.02515	1	0.124	0.388	1	0.062342571	5
YBR193C	Fungi	0.0586333333333	41	0.14	0.422	1	0.072828785	4
YBR194W	SCER_S28	0.340633333333	4	0.127	0.396	0	0.363743787	2
YBR195C	pre_Eukaryota	0.0929666666667	12	0.131	0.416	0	0.232026442	4
YBR196C	pre_Eukaryota	0.0182333333333	18	0.681	0.433	1	0.05108192	6
YBR197C	SCER_S28	0.297033333333	2	0.105	0.472	0	0.017852757	4
YBR198C	pre_Eukaryota	0.0355333333333	52	0.129	0.406	1	0.061516165	5
YBR199W	N/A	0.161166666667	6	0.133	0.384	0	0.030647634	4
YBR200W	pre_Eukaryota	0.037	62	0.156	0.384	0	0.18060395	4
YBR201W	Eukaryota	0.0792666666667	10	0.102	0.384	0	0.036436112	4
YBR202W	pre_Eukaryota	0.0252	23	0.173	0.411	1	0.107970079	5
YBR203W	SCER_S28	0.0728	4	0.159	0.388	0	0.014499224	4
YBR204C	SCER_S28	0.1842	0	0.125	0.39	0	0.007238239	4
YBR205W	Eukaryota	0.08835	21	0.186	0.408	0	0.007276391	4
YBR207W	Fungi	0.0948	37	0.145	0.408	0	0.012555946	4
YBR208C	pre_Eukaryota	0.0348	7	0.194	0.408	0	0.114153407	4
YBR210W	N/A	0.08165	4	0.105	0.362	0	0.012048934	4
YBR211C	SCER_S28	0.13035	23	0.126	0.367	1	0.182417649	3
YBR212W	Eukaryota	0.0687	13	0.119	0.418	0	0.054123861	3
YBR213W	pre_Eukaryota	0.083	2	0.106	0.477	0	0.027220992	4
YBR214W	Eukaryota	0.0434333333333	7	0.144	0.456	0	0.032482958	5
YBR215W	Fungi	0.1221	12	0.15	0.374	0	0.018495376	3
YBR216C	SCER_S28	0.1403	5	0.141	0.358	0	0.007038103	4
YBR217W	pre_Eukaryota	0.0606333333333	51	0.112	0.366	0	0.090648887	4
YBR218C	pre_Eukaryota	0.02045	9	0.308	0.433	0	0.013630005	6
YBR220C	pre_Eukaryota	0.0581	0	0.107	0.431	0	0.044799781	3
YBR221C	pre_Eukaryota	0.0918	25	0.343	0.433	0	0.212503083	5
YBR222C	pre_Eukaryota	0.0201666666667	6	0.197	0.445	0	0.010975692	4
